drugId,drugName,drugType
CHEMBL3707249,ASM-024,Small molecule
CHEMBL3989571,SPECTINOMYCIN HYDROCHLORIDE,Small molecule
CHEMBL3989766,ORITAVANCIN DIPHOSPHATE,Unknown
CHEMBL3989990,ISTIRATUMAB,Antibody
CHEMBL4101866,CHEMBL4101866,Small molecule
CHEMBL411084,WISKOSTATIN,Small molecule
CHEMBL4204833,CHEMBL4204833,Small molecule
CHEMBL4293828,CHEMBL4293828,Small molecule
CHEMBL4297414,PD-217014,Small molecule
CHEMBL4297519,NAFITHROMYCIN,Small molecule
CHEMBL4297785,VIBOSTOLIMAB,Antibody
CHEMBL4302505,NSI-189,Small molecule
CHEMBL447861,4-Hydroxy Benzoic Acid Benzyl Ester,Small molecule
CHEMBL4650300,AGI-134,Oligosaccharide
CHEMBL4650743,.ALPHA.-R-LIPOIC ACID CHOLINE ESTER,Small molecule
CHEMBL466659,PENTAERYTHRITOL TETRANITRATE,Small molecule
CHEMBL469912,PUROMYCIN,Small molecule
CHEMBL471737,IVABRADINE,Small molecule
CHEMBL480411,CHEMBL480411,Small molecule
CHEMBL4847050,AFICAMTEN,Small molecule
CHEMBL489157,CHEMBL489157,Small molecule
CHEMBL5182441,CHEMBL5182441,Unknown
CHEMBL521851,PICTILISIB,Small molecule
CHEMBL524,METHOXAMINE,Small molecule
CHEMBL551043,CHEMBL551043,Small molecule
CHEMBL57531,CHEMBL57531,Small molecule
CHEMBL600084,CHEMBL600084,Small molecule
CHEMBL604608,FRUCTOSE,Small molecule
CHEMBL72006,CHEMBL72006,Protein
CHEMBL8260,BAICALEIN,Small molecule
CHEMBL850,SPARFLOXACIN,Small molecule
CHEMBL852,MELPHALAN,Small molecule
CHEMBL959,RIMANTADINE,Small molecule
CHEMBL1089082,CHEMBL1089082,Small molecule
CHEMBL1089141,CHEMBL1089141,Small molecule
CHEMBL1090090,VX-702,Small molecule
CHEMBL1172887,CHEMBL1172887,Small molecule
CHEMBL1182,GLYCINEBETAINE,Small molecule
CHEMBL119592,KM-233,Small molecule
CHEMBL1200398,BUTOCONAZOLE NITRATE,Small molecule
CHEMBL1200469,PROMAZINE HYDROCHLORIDE,Small molecule
CHEMBL1200656,NATAMYCIN,Small molecule
CHEMBL1200879,WARFARIN SODIUM,Small molecule
CHEMBL1200887,TRIMETHOBENZAMIDE HYDROCHLORIDE,Small molecule
CHEMBL1201746,PRALATREXATE,Small molecule
CHEMBL1229971,DEOXYINOSINE,Small molecule
CHEMBL123154,CHEMBL123154,Small molecule
CHEMBL1232181,DIPHENYLACETIC ACID,Small molecule
CHEMBL1233249,CHEMBL1233249,Small molecule
CHEMBL1240705,CARBAPENEM,Small molecule
CHEMBL139367,PERAMIVIR,Small molecule
CHEMBL142652,PICEID,Small molecule
CHEMBL1526042,CHEMBL1526042,Small molecule
CHEMBL1585,PIPOBROMAN,Small molecule
CHEMBL1631912,CHEMBL1631912,Small molecule
CHEMBL1721885,SU-014813,Small molecule
CHEMBL1761322,MK-0736,Small molecule
CHEMBL176571,CHEMBL176571,Small molecule
CHEMBL1775039,CHEMBL1775039,Small molecule
CHEMBL1834488,CHEMBL1834488,Small molecule
CHEMBL188921,BUFLOMEDIL,Small molecule
CHEMBL195660,CHEMBL195660,Small molecule
CHEMBL197672,EMRICASAN,Small molecule
CHEMBL2023898,DACLATASVIR,Small molecule
CHEMBL207881,GW9508,Small molecule
CHEMBL2103840,DINACICLIB,Small molecule
CHEMBL2104146,CHINIOFON,Small molecule
CHEMBL2105036,IODOPYRACET,Small molecule
CHEMBL2108057,URTOXAZUMAB,Antibody
CHEMBL2108660,TUCOTUZUMAB CELMOLEUKIN,Antibody
CHEMBL2108866,STARCH,Oligosaccharide
CHEMBL2108887,AFELIMOMAB,Antibody
CHEMBL211312,DEOXYURIDINE MONOPHOSPHATE,Small molecule
CHEMBL218382,CHEMBL218382,Small molecule
CHEMBL219568,GUANINE,Small molecule
CHEMBL2216778,CHEMBL2216778,Small molecule
CHEMBL222021,PROTOCATECHUALDEHYDE,Small molecule
CHEMBL2252949,(-)-CAMPHOR,Small molecule
CHEMBL229430,AMG-517,Small molecule
CHEMBL230001,AZOXYSTROBIN,Small molecule
CHEMBL25579,CHEMBL25579,Small molecule
CHEMBL3039521,VINTAFOLIDE,Small molecule
CHEMBL3092196,CHEMBL3092196,Small molecule
CHEMBL3137693,GOLD,Small molecule
CHEMBL3233046,CHEMBL3233046,Small molecule
CHEMBL3545047,BMS-852927,Small molecule
CHEMBL3545102,SB-773812,Small molecule
CHEMBL3545185,SELINEXOR,Small molecule
CHEMBL3545415,SMC021,Protein
CHEMBL356359,PIBOSEROD,Small molecule
CHEMBL360771,CHEMBL360771,Small molecule
CHEMBL3654293,CHEMBL3654293,Small molecule
CHEMBL367700,CHEMBL367700,Small molecule
CHEMBL3707258,DIIODOHYDROXYPROPANE,Small molecule
CHEMBL3824089,CHEMBL3824089,Small molecule
CHEMBL385587,CHEMBL385587,Small molecule
CHEMBL385711,CHEMBL385711,Small molecule
CHEMBL397920,CHEMBL397920,Small molecule
CHEMBL3989522,EDETATE CALCIUM DISODIUM,Small molecule
CHEMBL401974,CHEMBL401974,Small molecule
CHEMBL4099635,CHEMBL4099635,Small molecule
CHEMBL4127773,CHEMBL4127773,Small molecule
CHEMBL4171770,CHEMBL4171770,Small molecule
CHEMBL4203133,CHEMBL4203133,Small molecule
CHEMBL4228250,SOR-C13,Protein
CHEMBL4248529,CHEMBL4248529,Small molecule
CHEMBL4280766,RONEPARSTAT,Oligosaccharide
CHEMBL4297774,AMIVANTAMAB,Antibody
CHEMBL4297880,EVORPACEPT,Protein
CHEMBL436784,LGD-2226,Small molecule
CHEMBL44246,CHEMBL44246,Small molecule
CHEMBL45068,PHLORETIN,Small molecule
CHEMBL457047,CHEMBL457047,Small molecule
CHEMBL457992,CHEMBL457992,Small molecule
CHEMBL46148,CHEMBL46148,Small molecule
CHEMBL468,THALIDOMIDE,Small molecule
CHEMBL478718,CHEMBL478718,Small molecule
CHEMBL487067,CHEMBL487067,Small molecule
CHEMBL5095044,SUBASUMSTAT,Small molecule
CHEMBL5095184,IMMH-010,Small molecule
CHEMBL5095338,GLPG-3970,Unknown
CHEMBL5095404,BEMNIFOSBUVIR,Small molecule
CHEMBL565183,CHEMBL565183,Small molecule
CHEMBL578211,COTININE,Small molecule
CHEMBL579205,FLUTEMETAMOL,Small molecule
CHEMBL593814,CHEMBL593814,Small molecule
CHEMBL888,GEMCITABINE,Small molecule
CHEMBL900,ORPHENADRINE,Small molecule
CHEMBL1086580,CHEMBL1086580,Small molecule
CHEMBL1091,HYDROCORTISONE ACETATE,Small molecule
CHEMBL1094982,INOSITOL NIACINATE,Small molecule
CHEMBL1200368,BENTIROMIDE,Small molecule
CHEMBL1200950,CLIDINIUM BROMIDE,Small molecule
CHEMBL1201365,RAMIPRILAT,Small molecule
CHEMBL1201591,CORTICORELIN OVINE TRIFLUTATE,Protein
CHEMBL1201827,PANITUMUMAB,Antibody
CHEMBL1229592,CHEMBL1229592,Small molecule
CHEMBL1230020,PLX-4720,Small molecule
CHEMBL1231378,CHEMBL1231378,Small molecule
CHEMBL1235764,RIBAVIRIN MONOPHOSPHATE,Small molecule
CHEMBL1255653,SEPIAPTERIN,Small molecule
CHEMBL1269257,CHEMBL1269257,Small molecule
CHEMBL1336,SORAFENIB,Small molecule
CHEMBL1371200,CANRENOATE POTASSIUM,Small molecule
CHEMBL145781,7-BENZYLOXYCOUMARIN,Small molecule
CHEMBL1544,LIOTHYRONINE,Small molecule
CHEMBL15976,OXAMATE,Small molecule
CHEMBL1615278,CHEMBL1615278,Small molecule
CHEMBL1628569,ROBALZOTAN,Small molecule
CHEMBL167874,CHEMBL167874,Small molecule
CHEMBL1681,IODOHIPPURATE,Small molecule
CHEMBL172806,CHEMBL172806,Small molecule
CHEMBL1742483,RESOLVIN E1,Small molecule
CHEMBL1774327,CHEMBL1774327,Small molecule
CHEMBL1875086,METHOPRENE,Small molecule
CHEMBL195368,Methyl Alpha-D-Mannopyranoside,Small molecule
CHEMBL1963249,ULIMORELIN,Small molecule
CHEMBL200849,CHEMBL200849,Small molecule
CHEMBL2048904,CHEMBL2048904,Small molecule
CHEMBL207095,CHEMBL207095,Small molecule
CHEMBL207403,CHEMBL207403,Small molecule
CHEMBL2104397,LIME,Small molecule
CHEMBL2104797,TIEMONIUM IODIDE,Small molecule
CHEMBL2105807,MADURAMICIN,Small molecule
CHEMBL2106071,CLOMOCYCLINE,Small molecule
CHEMBL210651,APRICITABINE,Small molecule
CHEMBL2107806,TALAPORFIN SODIUM,Small molecule
CHEMBL2108345,TRABEDERSEN,Oligonucleotide
CHEMBL2109341,CCR5MAB004,Antibody
CHEMBL2109366,ANTI-TAC 90 Y-HAT,Antibody
CHEMBL2109595,AMG-157,Antibody
CHEMBL213618,CHEMBL213618,Small molecule
CHEMBL2165402,INGENOL,Small molecule
CHEMBL2177639,CHEMBL2177639,Small molecule
CHEMBL217899,TOFIMILAST,Small molecule
CHEMBL219841,CHEMBL219841,Small molecule
CHEMBL220467,CHEMBL220467,Small molecule
CHEMBL22148,GNF-Pf-26,Small molecule
CHEMBL2303621,DACLATASVIR DIHYDROCHLORIDE,Small molecule
CHEMBL2308885,CLOBETASONE BUTYRATE,Small molecule
CHEMBL2331680,RG-7603,Small molecule
CHEMBL2346738,DIPRAGLURANT,Small molecule
CHEMBL24147,RESORCINOL,Small molecule
CHEMBL251796,CHEMBL251796,Small molecule
CHEMBL259898,PRASTERONE SULFURIC ACID,Small molecule
CHEMBL262616,"(1-Hydroxy-1-Phosphono-2-[1,1';4',1'']Terphenyl-3-Yl-Ethyl)-Phosphonic Acid",Small molecule
CHEMBL270754,CHEMBL270754,Small molecule
CHEMBL272980,MOCETINOSTAT,Small molecule
CHEMBL307429,DUVOGLUSTAT,Small molecule
CHEMBL3102994,CHEMBL3102994,Small molecule
CHEMBL3137320,TALAZOPARIB,Small molecule
CHEMBL3137358,SIMEPREVIR SODIUM,Small molecule
CHEMBL3335307,CHEMBL3335307,Small molecule
CHEMBL334830,RANIRESTAT,Small molecule
CHEMBL335062,ANDROSTANDIOL,Small molecule
CHEMBL3422093,CHEMBL3422093,Small molecule
CHEMBL3545128,ROCAPULDENCEL-T,Cell
CHEMBL354773,CHEMBL354773,Small molecule
CHEMBL3559901,CHEMBL3559901,Small molecule
CHEMBL358150,ETOFIBRATE,Small molecule
CHEMBL364713,NOSCAPINE,Small molecule
CHEMBL3707218,FUNAPIDE,Small molecule
CHEMBL3793424,CHEMBL3793424,Small molecule
CHEMBL3989478,THIETHYLPERAZINE MALEATE,Small molecule
CHEMBL4207583,CHEMBL4207583,Small molecule
CHEMBL423192,ANISOMYCIN,Small molecule
CHEMBL4240458,CHEMBL4240458,Small molecule
CHEMBL4283683,DOMATINOSTAT,Small molecule
CHEMBL4297325,SIMMITECAN,Small molecule
CHEMBL4297494,GSK-3117391,Small molecule
CHEMBL4297795,NEPRILYSIN,Unknown
CHEMBL4298038,MGD-007,Unknown
CHEMBL4298040,GEDIVUMAB,Antibody
CHEMBL452867,RIBOPRINE,Small molecule
CHEMBL455328,CHEMBL455328,Small molecule
CHEMBL457299,MACROGOL,Small molecule
CHEMBL4586794,ABT-100,Unknown
CHEMBL4594430,KL-1333,Small molecule
CHEMBL46325,CHEMBL46325,Small molecule
CHEMBL4650372,AG0302-COVID19,Unknown
CHEMBL4650441,IMSIDOLIMAB,Antibody
CHEMBL4791762,CX-717,Small molecule
CHEMBL4802135,NIRMATRELVIR,Small molecule
CHEMBL485145,CHEMBL485145,Small molecule
CHEMBL500082,CHEMBL500082,Small molecule
CHEMBL502124,CHEMBL502124,Small molecule
CHEMBL521860,CHEMBL521860,Small molecule
CHEMBL542541,HYDRALAZINE HYDROCHLORIDE,Small molecule
CHEMBL566636,CHEMBL566636,Small molecule
CHEMBL589752,L-Homoarginine,Small molecule
CHEMBL604907,CHEMBL604907,Small molecule
CHEMBL63895,CHEMBL63895,Small molecule
CHEMBL762,OXYMETAZOLINE,Small molecule
CHEMBL76222,REBIMASTAT,Small molecule
CHEMBL10118,FAMOXADONE,Small molecule
CHEMBL1094042,CHEMBL1094042,Small molecule
CHEMBL117287,PRUCALOPRIDE,Small molecule
CHEMBL117391,BANOXANTRONE,Small molecule
CHEMBL1192519,BENAZEPRILAT,Small molecule
CHEMBL1200585,OXYMETHOLONE,Small molecule
CHEMBL1201242,INDECAINIDE,Small molecule
CHEMBL1213369,CHEMBL1213369,Small molecule
CHEMBL123025,CHEMBL123025,Small molecule
CHEMBL1230513,CHEMBL1230513,Small molecule
CHEMBL1234658,CHEMBL1234658,Small molecule
CHEMBL1251,GANIRELIX ACETATE,Protein
CHEMBL1276138,FARAMPATOR,Small molecule
CHEMBL1374135,CHEMBL1374135,Small molecule
CHEMBL1619785,TALAMPICILLIN,Small molecule
CHEMBL1712923,IRSOGLADINE MALEATE,Small molecule
CHEMBL1819259,CHEMBL1819259,Small molecule
CHEMBL1835750,CHEMBL1835750,Small molecule
CHEMBL1880349,2-DEOXY-D-GLUCOSE,Small molecule
CHEMBL1908350,ROKITAMYCIN,Small molecule
CHEMBL1921847,ATICAPRANT,Small molecule
CHEMBL20461,PHENETHYLBORONIC ACID,Small molecule
CHEMBL2103792,AGATOLIMOD,Oligonucleotide
CHEMBL2105745,GLYCEROL PHENYLBUTYRATE,Small molecule
CHEMBL2105907,AZIDOCILLIN,Small molecule
CHEMBL2107816,RADIUM RA 223 DICHLORIDE,Small molecule
CHEMBL2108475,PRILIXIMAB,Antibody
CHEMBL2111105,RUSALATIDE,Protein
CHEMBL217463,CHEMBL217463,Small molecule
CHEMBL2179834,CHEMBL2179834,Protein
CHEMBL219586,GW590735,Small molecule
CHEMBL236777,CHEMBL236777,Small molecule
CHEMBL239508,CHEMBL239508,Small molecule
CHEMBL2397149,CHEMBL2397149,Small molecule
CHEMBL248713,CHEMBL248713,Small molecule
CHEMBL258201,CHEMBL258201,Small molecule
CHEMBL258940,FALNIDAMOL,Small molecule
CHEMBL267936,MECAMYLAMINE,Small molecule
CHEMBL274070,9-AMINOCAMPTOTHECIN,Small molecule
CHEMBL279014,LUCANTHONE,Small molecule
CHEMBL282468,CHOLINE CHLORIDE,Small molecule
CHEMBL298312,METACRESOL,Small molecule
CHEMBL3236080,CHEMBL3236080,Small molecule
CHEMBL331378,ZOFENOPRIL,Small molecule
CHEMBL3358611,CHEMBL3358611,Small molecule
CHEMBL3544932,TAK-901,Small molecule
CHEMBL3545073,AMA0076,Small molecule
CHEMBL3545209,NKTR-171,Small molecule
CHEMBL3545263,LGX-806,Small molecule
CHEMBL3609741,CHEMBL3609741,Small molecule
CHEMBL3622533,FIMEPINOSTAT,Small molecule
CHEMBL3769965,CHEMBL3769965,Small molecule
CHEMBL379630,D-PHENYLALANINE,Small molecule
CHEMBL3833384,EFLAPEGRASTIM,Protein
CHEMBL3929298,CHEMBL3929298,Small molecule
CHEMBL4064619,CHEMBL4064619,Small molecule
CHEMBL4096740,CHEMBL4096740,Small molecule
CHEMBL4166607,CHEMBL4166607,Small molecule
CHEMBL4204322,CHEMBL4204322,Small molecule
CHEMBL4218705,CHEMBL4218705,Small molecule
CHEMBL4225537,CHEMBL4225537,Small molecule
CHEMBL4297218,ROVAZOLAC,Small molecule
CHEMBL4297319,PHENCYNONATE HYDROCHLORIDE,Small molecule
CHEMBL4297346,AGN-201904,Small molecule
CHEMBL4298128,ELEXACAFTOR,Small molecule
CHEMBL443238,CHEMBL443238,Small molecule
CHEMBL445304,3-Hydroxyanthranilic Acid,Small molecule
CHEMBL4455633,CHEMBL4455633,Unknown
CHEMBL4593677,BAY-474,Unknown
CHEMBL4594242,CALCITONIN,Protein
CHEMBL4594390,QUARATUSUGENE OZEPLASMID,Gene
CHEMBL460785,DUVOGLUSTAT HYDROCHLORIDE,Small molecule
CHEMBL4650288,FLYSYN,Antibody
CHEMBL473484,CHEMBL473484,Small molecule
CHEMBL5084520,CHEMBL5084520,Unknown
CHEMBL5095042,FASEDIENOL,Small molecule
CHEMBL5095253,ULONIVIRINE,Unknown
CHEMBL5095357,INSULIN EFSITORA ALFA,Protein
CHEMBL513027,CHEMBL513027,Small molecule
CHEMBL553,ERLOTINIB,Small molecule
CHEMBL577294,2-HYDROXYPROPYL-BETA-CYCLODEXTRIN,Oligosaccharide
CHEMBL586702,ZSTK-474,Small molecule
CHEMBL59132,AD-7057,Small molecule
CHEMBL608738,CHEMBL608738,Small molecule
CHEMBL61441,CHEMBL61441,Small molecule
CHEMBL82932,CHEMBL82932,Small molecule
CHEMBL8483,N-(3-Oxododecanoyl)Homoserinelactone,Small molecule
CHEMBL87493,FENFLURAMINE,Small molecule
CHEMBL940,GABAPENTIN,Small molecule
CHEMBL979,MEPROBAMATE,Small molecule
CHEMBL107367,FARGLITAZAR,Small molecule
CHEMBL1088749,CHEMBL1088749,Small molecule
CHEMBL111659,ALTINICLINE,Small molecule
CHEMBL112,ACETAMINOPHEN,Small molecule
CHEMBL1162175,REGRELOR,Small molecule
CHEMBL117658,CHEMBL117658,Small molecule
CHEMBL1187319,CHEMBL1187319,Small molecule
CHEMBL1200357,MOXALACTAM DISODIUM,Small molecule
CHEMBL1200381,ARGININE HYDROCHLORIDE,Small molecule
CHEMBL1200541,AMBENONIUM CHLORIDE,Small molecule
CHEMBL1200724,PSEUDOEPHEDRINE HYDROCHLORIDE,Small molecule
CHEMBL1200745,OXPRENOLOL HYDROCHLORIDE,Small molecule
CHEMBL1201058,POTASSIUM ACETATE,Small molecule
CHEMBL1201360,HALOBETASOL,Small molecule
CHEMBL1201486,QUINIDINE POLYGALACTURONATE,Small molecule
CHEMBL1201489,SERACTIDE ACETATE,Protein
CHEMBL1201867,FERUMOXYTOL,Unknown
CHEMBL1229846,PHENOXYETHANOL,Small molecule
CHEMBL1232586,CHEMBL1232586,Small molecule
CHEMBL1233,CARISOPRODOL,Small molecule
CHEMBL1235423,CHEMBL1235423,Small molecule
CHEMBL1236188,CHEMBL1236188,Small molecule
CHEMBL127155,CHEMBL127155,Small molecule
CHEMBL140476,HUPRINE Y,Small molecule
CHEMBL1410743,PARALDEHYDE,Small molecule
CHEMBL1449,TICARCILLIN,Small molecule
CHEMBL146554,2-Oxoisovalerate,Small molecule
CHEMBL1507567,CHEMBL1507567,Small molecule
CHEMBL1614710,OSI-930,Small molecule
CHEMBL164660,PSORALEN,Small molecule
CHEMBL1660,RIFAPENTINE,Small molecule
CHEMBL1743004,CRENEZUMAB,Antibody
CHEMBL1743019,FIGITUMUMAB,Antibody
CHEMBL180517,CHEMBL180517,Small molecule
CHEMBL185231,CHEMBL185231,Small molecule
CHEMBL1899801,PERFLENAPENT,Small molecule
CHEMBL1922673,FIBOFLAPON SODIUM,Small molecule
CHEMBL1946186,DEPTROPINE,Small molecule
CHEMBL1951575,VIDUPIPRANT,Small molecule
CHEMBL198701,CHEMBL198701,Small molecule
CHEMBL202361,CHEMBL202361,Small molecule
CHEMBL2047541,CHEMBL2047541,Small molecule
CHEMBL2068724,ACAMPROSATE CALCIUM,Small molecule
CHEMBL207891,CHEMBL207891,Small molecule
CHEMBL2107913,OPEBACAN,Protein
CHEMBL2108350,CONESTAT ALFA,Protein
CHEMBL2108623,MILK THISTLE,Unknown
CHEMBL2108938,CADEXOMER IODINE,Small molecule
CHEMBL2110783,HOPANTENIC ACID,Small molecule
CHEMBL2110805,EMEPRONIUM,Small molecule
CHEMBL2111092,EPRODISATE,Small molecule
CHEMBL2177632,CHEMBL2177632,Small molecule
CHEMBL223824,MOZENAVIR,Small molecule
CHEMBL287038,CHEMBL287038,Small molecule
CHEMBL30,CIMETIDINE,Small molecule
CHEMBL3039113,THEANINE,Small molecule
CHEMBL3094403,CHEMBL3094403,Small molecule
CHEMBL3185786,CHEMBL3185786,Small molecule
CHEMBL3220046,CHEMBL3220046,Small molecule
CHEMBL3260567,VACTOSERTIB,Small molecule
CHEMBL334337,CHEMBL334337,Small molecule
CHEMBL3353342,CHEMBL3353342,Small molecule
CHEMBL3393071,CHEMBL3393071,Small molecule
CHEMBL3401388,CHEMBL3401388,Small molecule
CHEMBL3544906,BENZPHETAMINE HYDROCHLORIDE,Small molecule
CHEMBL3545131,ISATUXIMAB,Antibody
CHEMBL3613921,CHEMBL3613921,Small molecule
CHEMBL3707339,PYRIDOXAL 5-PHOSPHATE GLUTAMIC ACID,Small molecule
CHEMBL3707352,POLICOSANOL,Small molecule
CHEMBL3740850,CHEMBL3740850,Small molecule
CHEMBL3763360,CHEMBL3763360,Small molecule
CHEMBL378583,CHEMBL378583,Small molecule
CHEMBL379367,CHEMBL379367,Small molecule
CHEMBL3818247,DALMELITINIB,Small molecule
CHEMBL382639,CHEMBL382639,Small molecule
CHEMBL3894860,TRILACICLIB,Small molecule
CHEMBL3989551,LINCOMYCIN HYDROCHLORIDE,Small molecule
CHEMBL3989676,OXYPHENBUTAZONE,Small molecule
CHEMBL4080695,CHEMBL4080695,Small molecule
CHEMBL4086671,CHEMBL4086671,Small molecule
CHEMBL411284,CHEMBL411284,Small molecule
CHEMBL412763,CHEMBL412763,Small molecule
CHEMBL425252,CHEMBL425252,Small molecule
CHEMBL4283227,CHEMBL4283227,Small molecule
CHEMBL4297456,ATN-161,Protein
CHEMBL4297530,SAROGLITAZAR,Small molecule
CHEMBL4297533,BREMELANOTIDE ACETATE,Protein
CHEMBL4297707,BMS-986207,Unknown
CHEMBL4297772,INTERLEUKIN-7,Unknown
CHEMBL4298037,RETIFANLIMAB,Antibody
CHEMBL448620,SNAP-5089,Small molecule
CHEMBL4594508,TRPH-222,Unknown
CHEMBL4594609,SR-123781A,Unknown
CHEMBL4650444,ASP-1948,Unknown
CHEMBL4750217,CHEMBL4750217,Unknown
CHEMBL4778517,CHEMBL4778517,Unknown
CHEMBL4802183,TPX-0131,Unknown
CHEMBL487738,CHEMBL487738,Small molecule
CHEMBL507361,MIRDAMETINIB,Small molecule
CHEMBL5095176,DEUPIRFENIDONE,Unknown
CHEMBL5095340,MISETIONAMIDE,Small molecule
CHEMBL535396,RIMANTADINE HYDROCHLORIDE,Small molecule
CHEMBL55643,COPPER,Small molecule
CHEMBL562,GRISEOFULVIN,Small molecule
CHEMBL76029,CHEMBL76029,Small molecule
CHEMBL919,FOSPHENYTOIN SODIUM,Small molecule
CHEMBL101801,CHEMBL101801,Small molecule
CHEMBL1088752,LOSMAPIMOD,Small molecule
CHEMBL1090381,CHEMBL1090381,Small molecule
CHEMBL1091024,MIOCAMYCIN,Small molecule
CHEMBL1093423,CHEMBL1093423,Small molecule
CHEMBL1094040,CHEMBL1094040,Small molecule
CHEMBL1178725,NOLPITANTIUM,Small molecule
CHEMBL118446,CHEMBL118446,Small molecule
CHEMBL1200542,DESOXYCORTICOSTERONE ACETATE,Small molecule
CHEMBL1201057,CILASTATIN SODIUM,Small molecule
CHEMBL1201485,SOYBEAN OIL,Small molecule
CHEMBL1230674,9-Methylguanine,Small molecule
CHEMBL1231240,CHEMBL1231240,Small molecule
CHEMBL1234599,CHEMBL1234599,Small molecule
CHEMBL1236539,7-Hydroxystaurosporine,Small molecule
CHEMBL1270424,CHEMBL1270424,Small molecule
CHEMBL1374738,CHEMBL1374738,Small molecule
CHEMBL141,LAMIVUDINE,Small molecule
CHEMBL1499653,CHEMBL1499653,Small molecule
CHEMBL174004,CHEMBL174004,Small molecule
CHEMBL1742997,CANTUZUMAB MERTANSINE,Antibody
CHEMBL1908892,O-(2-FLUOROETHYL)-L-TYROSINE,Small molecule
CHEMBL1940181,CHEMBL1940181,Small molecule
CHEMBL199441,CHEMBL199441,Small molecule
CHEMBL200495,CHEMBL200495,Small molecule
CHEMBL204656,ELVITEGRAVIR,Small molecule
CHEMBL2103862,BAVISANT,Small molecule
CHEMBL2108451,DEXTRAN 70,Oligosaccharide
CHEMBL2109005,CASTOR OIL,Small molecule
CHEMBL2109137,MOROCTOCOG ALFA,Protein
CHEMBL2109634,ONCOLYSIN S,Antibody
CHEMBL2110609,BENZOXONIUM,Small molecule
CHEMBL2110786,STRONTIUM,Small molecule
CHEMBL2111083,BEDORADRINE,Small molecule
CHEMBL2111164,TROLNITRATE,Small molecule
CHEMBL213100,CHEMBL213100,Small molecule
CHEMBL2151741,CHEMBL2151741,Small molecule
CHEMBL21731,MAPROTILINE,Small molecule
CHEMBL220529,CHEMBL220529,Small molecule
CHEMBL2251727,ETHYL ISOTHIOCYANATE,Small molecule
CHEMBL225210,CHEMBL225210,Small molecule
CHEMBL253869,CHEMBL253869,Small molecule
CHEMBL256961,CHEMBL256961,Small molecule
CHEMBL259571,TAPINAROF,Small molecule
CHEMBL269277,BETULINIC ACID,Small molecule
CHEMBL273124,PENCLOMEDINE,Small molecule
CHEMBL301829,CP-195543,Small molecule
CHEMBL3087323,DTP-348,Small molecule
