drugId,drugName,drugType,targetId,targetLocation,targetLocationName,targetLocationCluster
CHEMBL3707249,ASM-024,Small molecule,ENSG00000168539,SL-0219,Postsynaptic cell membrane,Surface
CHEMBL3707249,ASM-024,Small molecule,ENSG00000168539,SL-0039,Cell membrane,Surface
CHEMBL3989990,ISTIRATUMAB,Antibody,ENSG00000065361,SL-0243,Secreted,Secreted
CHEMBL3989990,ISTIRATUMAB,Antibody,ENSG00000065361,SL-0039,Cell membrane,Surface
CHEMBL3989990,ISTIRATUMAB,Antibody,ENSG00000140443,SL-0039,Cell membrane,Surface
CHEMBL4297785,VIBOSTOLIMAB,Antibody,ENSG00000181847,SL-0039,Cell membrane,Surface
CHEMBL466659,PENTAERYTHRITOL TETRANITRATE,Small molecule,ENSG00000061918,SL-0086,Cytoplasm,Cytoplasm
CHEMBL466659,PENTAERYTHRITOL TETRANITRATE,Small molecule,ENSG00000123201,SL-0086,Cytoplasm,Cytoplasm
CHEMBL466659,PENTAERYTHRITOL TETRANITRATE,Small molecule,ENSG00000152402,SL-0086,Cytoplasm,Cytoplasm
CHEMBL466659,PENTAERYTHRITOL TETRANITRATE,Small molecule,ENSG00000164116,SL-0086,Cytoplasm,Cytoplasm
CHEMBL521851,PICTILISIB,Small molecule,ENSG00000051382,SL-0191,Nucleus,Nucleus
CHEMBL521851,PICTILISIB,Small molecule,ENSG00000051382,SL-0086,Cytoplasm,Cytoplasm
CHEMBL521851,PICTILISIB,Small molecule,ENSG00000105851,SL-0086,Cytoplasm,Cytoplasm
CHEMBL521851,PICTILISIB,Small molecule,ENSG00000105851,SL-0039,Cell membrane,Surface
CHEMBL521851,PICTILISIB,Small molecule,ENSG00000171608,SL-0086,Cytoplasm,Cytoplasm
CHEMBL521851,PICTILISIB,Small molecule,ENSG00000141506,SL-0191,Nucleus,Nucleus
CHEMBL521851,PICTILISIB,Small molecule,ENSG00000141506,SL-0086,Cytoplasm,Cytoplasm
CHEMBL521851,PICTILISIB,Small molecule,ENSG00000141506,SL-0039,Cell membrane,Surface
CHEMBL1090090,VX-702,Small molecule,ENSG00000112062,SL-0191,Nucleus,Nucleus
CHEMBL1090090,VX-702,Small molecule,ENSG00000112062,SL-0086,Cytoplasm,Cytoplasm
CHEMBL1200469,PROMAZINE HYDROCHLORIDE,Small molecule,ENSG00000102468,SL-0280,Cell projection,Cytoplasm
CHEMBL1200469,PROMAZINE HYDROCHLORIDE,Small molecule,ENSG00000102468,SL-0039,Cell membrane,Surface
CHEMBL1200469,PROMAZINE HYDROCHLORIDE,Small molecule,ENSG00000102468,SL-0162,Membrane,Cytoplasm
CHEMBL1200469,PROMAZINE HYDROCHLORIDE,Small molecule,ENSG00000102468,SL-0088,Cytoplasmic vesicle,Cytoplasm
CHEMBL1200469,PROMAZINE HYDROCHLORIDE,Small molecule,ENSG00000102468,SL-0516,Presynapse,Cytoplasm
CHEMBL1200469,PROMAZINE HYDROCHLORIDE,Small molecule,ENSG00000149295,SL-0039,Cell membrane,Surface
CHEMBL1200469,PROMAZINE HYDROCHLORIDE,Small molecule,ENSG00000151577,SL-0039,Cell membrane,Surface
CHEMBL1200469,PROMAZINE HYDROCHLORIDE,Small molecule,ENSG00000069696,SL-0039,Cell membrane,Surface
CHEMBL1200879,WARFARIN SODIUM,Small molecule,ENSG00000167397,SL-0097,Endoplasmic reticulum membrane,Cytoplasm
CHEMBL1201746,PRALATREXATE,Small molecule,ENSG00000228716,SL-0173,Mitochondrion,Cytoplasm
CHEMBL1201746,PRALATREXATE,Small molecule,ENSG00000228716,SL-0086,Cytoplasm,Cytoplasm
CHEMBL1721885,SU-014813,Small molecule,ENSG00000113721,SL-0088,Cytoplasmic vesicle,Cytoplasm
CHEMBL1721885,SU-014813,Small molecule,ENSG00000113721,SL-0156,Lysosome lumen,Cytoplasm
CHEMBL1721885,SU-014813,Small molecule,ENSG00000113721,SL-0039,Cell membrane,Surface
CHEMBL1721885,SU-014813,Small molecule,ENSG00000134853,SL-0280,Cell projection,Cytoplasm
CHEMBL1721885,SU-014813,Small molecule,ENSG00000134853,SL-0132,Golgi apparatus,Cytoplasm
CHEMBL1721885,SU-014813,Small molecule,ENSG00000134853,SL-0039,Cell membrane,Surface
CHEMBL1721885,SU-014813,Small molecule,ENSG00000122025,SL-0162,Membrane,Cytoplasm
CHEMBL1721885,SU-014813,Small molecule,ENSG00000122025,SL-0096,Endoplasmic reticulum lumen,Cytoplasm
CHEMBL1721885,SU-014813,Small molecule,ENSG00000157404,SL-0086,Cytoplasm,Cytoplasm
CHEMBL1721885,SU-014813,Small molecule,ENSG00000157404,SL-0039,Cell membrane,Surface
CHEMBL1721885,SU-014813,Small molecule,ENSG00000102755,SL-0086,Cytoplasm,Cytoplasm
CHEMBL1721885,SU-014813,Small molecule,ENSG00000102755,SL-0243,Secreted,Secreted
CHEMBL1721885,SU-014813,Small molecule,ENSG00000102755,SL-0101,Endosome,Cytoplasm
CHEMBL1721885,SU-014813,Small molecule,ENSG00000102755,SL-0039,Cell membrane,Surface
CHEMBL1721885,SU-014813,Small molecule,ENSG00000037280,SL-0191,Nucleus,Nucleus
CHEMBL1721885,SU-014813,Small molecule,ENSG00000037280,SL-0243,Secreted,Secreted
CHEMBL1721885,SU-014813,Small molecule,ENSG00000037280,SL-0086,Cytoplasm,Cytoplasm
CHEMBL1721885,SU-014813,Small molecule,ENSG00000037280,SL-0039,Cell membrane,Surface
CHEMBL1721885,SU-014813,Small molecule,ENSG00000128052,SL-0039,Cell membrane,Surface
CHEMBL1721885,SU-014813,Small molecule,ENSG00000128052,SL-0094,Early endosome,Cytoplasm
CHEMBL1721885,SU-014813,Small molecule,ENSG00000128052,SL-0086,Cytoplasm,Cytoplasm
CHEMBL1721885,SU-014813,Small molecule,ENSG00000128052,SL-0038,Cell junction,Cytoplasm
CHEMBL1721885,SU-014813,Small molecule,ENSG00000128052,SL-0088,Cytoplasmic vesicle,Cytoplasm
CHEMBL1721885,SU-014813,Small molecule,ENSG00000128052,SL-0243,Secreted,Secreted
CHEMBL1721885,SU-014813,Small molecule,ENSG00000128052,SL-0095,Endoplasmic reticulum,Cytoplasm
CHEMBL1721885,SU-014813,Small molecule,ENSG00000128052,SL-0191,Nucleus,Nucleus
CHEMBL1761322,MK-0736,Small molecule,ENSG00000117594,SL-0097,Endoplasmic reticulum membrane,Cytoplasm
CHEMBL197672,EMRICASAN,Small molecule,ENSG00000196954,SL-0173,Mitochondrion,Cytoplasm
CHEMBL197672,EMRICASAN,Small molecule,ENSG00000196954,SL-0086,Cytoplasm,Cytoplasm
CHEMBL197672,EMRICASAN,Small molecule,ENSG00000196954,SL-0488,Inflammasome,Cytoplasm
CHEMBL197672,EMRICASAN,Small molecule,ENSG00000196954,SL-0097,Endoplasmic reticulum membrane,Cytoplasm
CHEMBL197672,EMRICASAN,Small molecule,ENSG00000196954,SL-0243,Secreted,Secreted
CHEMBL197672,EMRICASAN,Small molecule,ENSG00000164305,SL-0086,Cytoplasm,Cytoplasm
CHEMBL197672,EMRICASAN,Small molecule,ENSG00000138794,SL-0191,Nucleus,Nucleus
CHEMBL197672,EMRICASAN,Small molecule,ENSG00000138794,SL-0086,Cytoplasm,Cytoplasm
CHEMBL197672,EMRICASAN,Small molecule,ENSG00000165806,SL-0191,Nucleus,Nucleus
CHEMBL197672,EMRICASAN,Small molecule,ENSG00000165806,SL-0086,Cytoplasm,Cytoplasm
CHEMBL197672,EMRICASAN,Small molecule,ENSG00000165806,SL-0243,Secreted,Secreted
CHEMBL197672,EMRICASAN,Small molecule,ENSG00000064012,SL-0191,Nucleus,Nucleus
CHEMBL197672,EMRICASAN,Small molecule,ENSG00000064012,SL-0086,Cytoplasm,Cytoplasm
CHEMBL197672,EMRICASAN,Small molecule,ENSG00000137752,SL-0086,Cytoplasm,Cytoplasm
CHEMBL197672,EMRICASAN,Small molecule,ENSG00000137752,SL-0039,Cell membrane,Surface
CHEMBL197672,EMRICASAN,Small molecule,ENSG00000105141,SL-0191,Nucleus,Nucleus
CHEMBL197672,EMRICASAN,Small molecule,ENSG00000105141,SL-0086,Cytoplasm,Cytoplasm
CHEMBL2103840,DINACICLIB,Small molecule,ENSG00000170312,SL-0191,Nucleus,Nucleus
CHEMBL2103840,DINACICLIB,Small molecule,ENSG00000170312,SL-0086,Cytoplasm,Cytoplasm
CHEMBL2103840,DINACICLIB,Small molecule,ENSG00000170312,SL-0173,Mitochondrion,Cytoplasm
CHEMBL2103840,DINACICLIB,Small molecule,ENSG00000164885,SL-0280,Cell projection,Cytoplasm
CHEMBL2103840,DINACICLIB,Small molecule,ENSG00000164885,SL-0297,Postsynaptic density,Cytoplasm
CHEMBL2103840,DINACICLIB,Small molecule,ENSG00000164885,SL-0039,Cell membrane,Surface
CHEMBL2103840,DINACICLIB,Small molecule,ENSG00000164885,SL-0086,Cytoplasm,Cytoplasm
CHEMBL2103840,DINACICLIB,Small molecule,ENSG00000164885,SL-0191,Nucleus,Nucleus
CHEMBL2103840,DINACICLIB,Small molecule,ENSG00000164885,SL-0197,Perikaryon,Cytoplasm
CHEMBL2103840,DINACICLIB,Small molecule,ENSG00000136807,SL-0191,Nucleus,Nucleus
CHEMBL2103840,DINACICLIB,Small molecule,ENSG00000136807,SL-0086,Cytoplasm,Cytoplasm
CHEMBL2103840,DINACICLIB,Small molecule,ENSG00000123374,SL-0191,Nucleus,Nucleus
CHEMBL2103840,DINACICLIB,Small molecule,ENSG00000123374,SL-0086,Cytoplasm,Cytoplasm
CHEMBL2103840,DINACICLIB,Small molecule,ENSG00000123374,SL-0101,Endosome,Cytoplasm
CHEMBL2108660,TUCOTUZUMAB CELMOLEUKIN,Antibody,ENSG00000119888,SL-0153,Lateral cell membrane,Surface
CHEMBL2108660,TUCOTUZUMAB CELMOLEUKIN,Antibody,ENSG00000119888,SL-0038,Cell junction,Cytoplasm
CHEMBL2108887,AFELIMOMAB,Antibody,ENSG00000232810,SL-0243,Secreted,Secreted
CHEMBL2108887,AFELIMOMAB,Antibody,ENSG00000232810,SL-0039,Cell membrane,Surface
CHEMBL2108887,AFELIMOMAB,Antibody,ENSG00000232810,SL-0162,Membrane,Cytoplasm
CHEMBL229430,AMG-517,Small molecule,ENSG00000196689,SL-0280,Cell projection,Cytoplasm
CHEMBL229430,AMG-517,Small molecule,ENSG00000196689,SL-0039,Cell membrane,Surface
CHEMBL229430,AMG-517,Small molecule,ENSG00000196689,SL-0219,Postsynaptic cell membrane,Surface
CHEMBL3039521,VINTAFOLIDE,Small molecule,ENSG00000110195,SL-0026,Basolateral cell membrane,Surface
CHEMBL3039521,VINTAFOLIDE,Small molecule,ENSG00000110195,SL-0039,Cell membrane,Surface
CHEMBL3039521,VINTAFOLIDE,Small molecule,ENSG00000110195,SL-0015,Apical cell membrane,Surface
CHEMBL3039521,VINTAFOLIDE,Small molecule,ENSG00000110195,SL-0088,Cytoplasmic vesicle,Cytoplasm
CHEMBL3039521,VINTAFOLIDE,Small molecule,ENSG00000110195,SL-0243,Secreted,Secreted
CHEMBL3039521,VINTAFOLIDE,Small molecule,ENSG00000110195,SL-0101,Endosome,Cytoplasm
CHEMBL3545047,BMS-852927,Small molecule,ENSG00000131408,SL-0191,Nucleus,Nucleus
CHEMBL3545047,BMS-852927,Small molecule,ENSG00000025434,SL-0191,Nucleus,Nucleus
CHEMBL3545047,BMS-852927,Small molecule,ENSG00000025434,SL-0086,Cytoplasm,Cytoplasm
CHEMBL3545102,SB-773812,Small molecule,ENSG00000102468,SL-0280,Cell projection,Cytoplasm
CHEMBL3545102,SB-773812,Small molecule,ENSG00000102468,SL-0039,Cell membrane,Surface
CHEMBL3545102,SB-773812,Small molecule,ENSG00000102468,SL-0162,Membrane,Cytoplasm
CHEMBL3545102,SB-773812,Small molecule,ENSG00000102468,SL-0088,Cytoplasmic vesicle,Cytoplasm
CHEMBL3545102,SB-773812,Small molecule,ENSG00000102468,SL-0516,Presynapse,Cytoplasm
CHEMBL3545102,SB-773812,Small molecule,ENSG00000149295,SL-0039,Cell membrane,Surface
CHEMBL3545185,SELINEXOR,Small molecule,ENSG00000082898,SL-0191,Nucleus,Nucleus
CHEMBL3545185,SELINEXOR,Small molecule,ENSG00000082898,SL-0086,Cytoplasm,Cytoplasm
CHEMBL3545415,SMC021,Protein,ENSG00000004948,SL-0039,Cell membrane,Surface
CHEMBL356359,PIBOSEROD,Small molecule,ENSG00000164270,SL-0101,Endosome,Cytoplasm
CHEMBL356359,PIBOSEROD,Small molecule,ENSG00000164270,SL-0039,Cell membrane,Surface
CHEMBL4297774,AMIVANTAMAB,Antibody,ENSG00000105976,SL-0243,Secreted,Secreted
CHEMBL4297774,AMIVANTAMAB,Antibody,ENSG00000105976,SL-0162,Membrane,Cytoplasm
CHEMBL4297774,AMIVANTAMAB,Antibody,ENSG00000146648,SL-0100,Endosome membrane,Surface
CHEMBL4297774,AMIVANTAMAB,Antibody,ENSG00000146648,SL-0039,Cell membrane,Surface
CHEMBL4297774,AMIVANTAMAB,Antibody,ENSG00000146648,SL-0182,Nucleus membrane,Nucleus
CHEMBL4297774,AMIVANTAMAB,Antibody,ENSG00000146648,SL-0134,Golgi apparatus membrane,Cytoplasm
CHEMBL4297774,AMIVANTAMAB,Antibody,ENSG00000146648,SL-0097,Endoplasmic reticulum membrane,Cytoplasm
CHEMBL4297774,AMIVANTAMAB,Antibody,ENSG00000146648,SL-0243,Secreted,Secreted
CHEMBL4297774,AMIVANTAMAB,Antibody,ENSG00000146648,SL-0101,Endosome,Cytoplasm
CHEMBL4297774,AMIVANTAMAB,Antibody,ENSG00000146648,SL-0191,Nucleus,Nucleus
CHEMBL4297880,EVORPACEPT,Protein,ENSG00000196776,SL-0039,Cell membrane,Surface
CHEMBL468,THALIDOMIDE,Small molecule,ENSG00000113851,SL-0191,Nucleus,Nucleus
CHEMBL468,THALIDOMIDE,Small molecule,ENSG00000113851,SL-0086,Cytoplasm,Cytoplasm
CHEMBL468,THALIDOMIDE,Small molecule,ENSG00000167986,SL-0191,Nucleus,Nucleus
CHEMBL468,THALIDOMIDE,Small molecule,ENSG00000167986,SL-0086,Cytoplasm,Cytoplasm
CHEMBL468,THALIDOMIDE,Small molecule,ENSG00000100387,SL-0191,Nucleus,Nucleus
CHEMBL468,THALIDOMIDE,Small molecule,ENSG00000100387,SL-0086,Cytoplasm,Cytoplasm
CHEMBL1091,HYDROCORTISONE ACETATE,Small molecule,ENSG00000113580,SL-0191,Nucleus,Nucleus
CHEMBL1091,HYDROCORTISONE ACETATE,Small molecule,ENSG00000113580,SL-0086,Cytoplasm,Cytoplasm
CHEMBL1091,HYDROCORTISONE ACETATE,Small molecule,ENSG00000113580,SL-0173,Mitochondrion,Cytoplasm
CHEMBL1200950,CLIDINIUM BROMIDE,Small molecule,ENSG00000133019,SL-0219,Postsynaptic cell membrane,Surface
CHEMBL1200950,CLIDINIUM BROMIDE,Small molecule,ENSG00000133019,SL-0026,Basolateral cell membrane,Surface
CHEMBL1200950,CLIDINIUM BROMIDE,Small molecule,ENSG00000133019,SL-0039,Cell membrane,Surface
CHEMBL1200950,CLIDINIUM BROMIDE,Small molecule,ENSG00000133019,SL-0097,Endoplasmic reticulum membrane,Cytoplasm
CHEMBL1200950,CLIDINIUM BROMIDE,Small molecule,ENSG00000168539,SL-0219,Postsynaptic cell membrane,Surface
CHEMBL1200950,CLIDINIUM BROMIDE,Small molecule,ENSG00000168539,SL-0039,Cell membrane,Surface
CHEMBL1201827,PANITUMUMAB,Antibody,ENSG00000146648,SL-0100,Endosome membrane,Surface
CHEMBL1201827,PANITUMUMAB,Antibody,ENSG00000146648,SL-0039,Cell membrane,Surface
CHEMBL1201827,PANITUMUMAB,Antibody,ENSG00000146648,SL-0182,Nucleus membrane,Nucleus
CHEMBL1201827,PANITUMUMAB,Antibody,ENSG00000146648,SL-0134,Golgi apparatus membrane,Cytoplasm
CHEMBL1201827,PANITUMUMAB,Antibody,ENSG00000146648,SL-0097,Endoplasmic reticulum membrane,Cytoplasm
CHEMBL1201827,PANITUMUMAB,Antibody,ENSG00000146648,SL-0243,Secreted,Secreted
CHEMBL1201827,PANITUMUMAB,Antibody,ENSG00000146648,SL-0101,Endosome,Cytoplasm
CHEMBL1201827,PANITUMUMAB,Antibody,ENSG00000146648,SL-0191,Nucleus,Nucleus
CHEMBL1371200,CANRENOATE POTASSIUM,Small molecule,ENSG00000151623,SL-0191,Nucleus,Nucleus
CHEMBL1371200,CANRENOATE POTASSIUM,Small molecule,ENSG00000151623,SL-0097,Endoplasmic reticulum membrane,Cytoplasm
CHEMBL1371200,CANRENOATE POTASSIUM,Small molecule,ENSG00000151623,SL-0086,Cytoplasm,Cytoplasm
CHEMBL1628569,ROBALZOTAN,Small molecule,ENSG00000178394,SL-0280,Cell projection,Cytoplasm
CHEMBL1628569,ROBALZOTAN,Small molecule,ENSG00000178394,SL-0039,Cell membrane,Surface
CHEMBL2108345,TRABEDERSEN,Oligonucleotide,ENSG00000092969,SL-0243,Secreted,Secreted
CHEMBL2109341,CCR5MAB004,Antibody,ENSG00000160791,SL-0039,Cell membrane,Surface
CHEMBL2109366,ANTI-TAC 90 Y-HAT,Antibody,ENSG00000134460,SL-0162,Membrane,Cytoplasm
CHEMBL2109595,AMG-157,Antibody,ENSG00000145777,SL-0243,Secreted,Secreted
CHEMBL217899,TOFIMILAST,Small molecule,ENSG00000065989,SL-0280,Cell projection,Cytoplasm
CHEMBL217899,TOFIMILAST,Small molecule,ENSG00000065989,SL-0086,Cytoplasm,Cytoplasm
CHEMBL217899,TOFIMILAST,Small molecule,ENSG00000065989,SL-0162,Membrane,Cytoplasm
CHEMBL217899,TOFIMILAST,Small molecule,ENSG00000113448,SL-0015,Apical cell membrane,Surface
CHEMBL217899,TOFIMILAST,Small molecule,ENSG00000113448,SL-0086,Cytoplasm,Cytoplasm
CHEMBL217899,TOFIMILAST,Small molecule,ENSG00000113448,SL-0162,Membrane,Cytoplasm
CHEMBL217899,TOFIMILAST,Small molecule,ENSG00000184588,SL-0086,Cytoplasm,Cytoplasm
CHEMBL217899,TOFIMILAST,Small molecule,ENSG00000184588,SL-0039,Cell membrane,Surface
CHEMBL217899,TOFIMILAST,Small molecule,ENSG00000105650,SL-0280,Cell projection,Cytoplasm
CHEMBL2331680,RG-7603,Small molecule,ENSG00000198793,SL-0165,Microsome membrane,Cytoplasm
CHEMBL2331680,RG-7603,Small molecule,ENSG00000198793,SL-0086,Cytoplasm,Cytoplasm
CHEMBL2331680,RG-7603,Small molecule,ENSG00000198793,SL-0134,Golgi apparatus membrane,Cytoplasm
CHEMBL2331680,RG-7603,Small molecule,ENSG00000198793,SL-0097,Endoplasmic reticulum membrane,Cytoplasm
CHEMBL2331680,RG-7603,Small molecule,ENSG00000198793,SL-0088,Cytoplasmic vesicle,Cytoplasm
CHEMBL2331680,RG-7603,Small molecule,ENSG00000198793,SL-0172,Mitochondrion outer membrane,Cytoplasm
CHEMBL2331680,RG-7603,Small molecule,ENSG00000198793,SL-0157,Lysosome membrane,Cytoplasm
CHEMBL2331680,RG-7603,Small molecule,ENSG00000198793,SL-0191,Nucleus,Nucleus
CHEMBL2346738,DIPRAGLURANT,Small molecule,ENSG00000168959,SL-0039,Cell membrane,Surface
CHEMBL272980,MOCETINOSTAT,Small molecule,ENSG00000147099,SL-0191,Nucleus,Nucleus
CHEMBL272980,MOCETINOSTAT,Small molecule,ENSG00000147099,SL-0468,Chromosome,Nucleus
CHEMBL272980,MOCETINOSTAT,Small molecule,ENSG00000147099,SL-0086,Cytoplasm,Cytoplasm
CHEMBL272980,MOCETINOSTAT,Small molecule,ENSG00000163517,SL-0191,Nucleus,Nucleus
