targetId,targetLocation,targetLocationName,targetLocationCluster
ENSG00000175931,SL-0086,Cytoplasm,Cytoplasm
ENSG00000176209,SL-0162,Membrane,Cytoplasm
ENSG00000177150,SL-0173,Mitochondrion,Cytoplasm
ENSG00000177150,SL-0086,Cytoplasm,Cytoplasm
ENSG00000177150,SL-0162,Membrane,Cytoplasm
ENSG00000177291,SL-0039,Cell membrane,Surface
ENSG00000181017,SL-0039,Cell membrane,Surface
ENSG00000181409,SL-0086,Cytoplasm,Cytoplasm
ENSG00000181409,SL-0162,Membrane,Cytoplasm
ENSG00000181826,SL-0039,Cell membrane,Surface
ENSG00000182158,SL-0191,Nucleus,Nucleus
ENSG00000182158,SL-0097,Endoplasmic reticulum membrane,Cytoplasm
ENSG00000183032,SL-0168,Mitochondrion inner membrane,Cytoplasm
ENSG00000185634,SL-0219,Postsynaptic cell membrane,Surface
ENSG00000196950,SL-0015,Apical cell membrane,Surface
ENSG00000196950,SL-0039,Cell membrane,Surface
ENSG00000197937,SL-0191,Nucleus,Nucleus
ENSG00000198015,SL-0173,Mitochondrion,Cytoplasm
ENSG00000198835,SL-0038,Cell junction,Cytoplasm
ENSG00000198835,SL-0039,Cell membrane,Surface
ENSG00000213079,SL-0191,Nucleus,Nucleus
ENSG00000213079,SL-0181,Nucleus matrix,Nucleus
ENSG00000213588,SL-0191,Nucleus,Nucleus
ENSG00000213983,SL-0100,Endosome membrane,Surface
ENSG00000213983,SL-0089,Cytoplasmic vesicle membrane,Cytoplasm
ENSG00000213983,SL-0134,Golgi apparatus membrane,Cytoplasm
ENSG00000214194,SL-0171,Mitochondrion membrane,Cytoplasm
ENSG00000214194,SL-0097,Endoplasmic reticulum membrane,Cytoplasm
ENSG00000227357,SL-0151,Late endosome membrane,Cytoplasm
ENSG00000227357,SL-0100,Endosome membrane,Surface
ENSG00000227357,SL-0039,Cell membrane,Surface
ENSG00000227357,SL-0132,Golgi apparatus,Cytoplasm
ENSG00000227357,SL-0097,Endoplasmic reticulum membrane,Cytoplasm
ENSG00000227357,SL-0157,Lysosome membrane,Cytoplasm
ENSG00000230257,SL-0191,Nucleus,Nucleus
ENSG00000243279,SL-0100,Endosome membrane,Surface
ENSG00000262655,SL-0243,Secreted,Secreted
ENSG00000269433,SL-0039,Cell membrane,Surface
ENSG00000006194,SL-0191,Nucleus,Nucleus
ENSG00000007520,SL-0086,Cytoplasm,Cytoplasm
ENSG00000020922,SL-0191,Nucleus,Nucleus
ENSG00000020922,SL-0468,Chromosome,Nucleus
ENSG00000036549,SL-0191,Nucleus,Nucleus
ENSG00000060971,SL-0204,Peroxisome,Cytoplasm
ENSG00000063761,SL-0173,Mitochondrion,Cytoplasm
ENSG00000068831,SL-0280,Cell projection,Cytoplasm
ENSG00000068831,SL-0258,Synapse,Cytoplasm
ENSG00000068831,SL-0086,Cytoplasm,Cytoplasm
ENSG00000068831,SL-0039,Cell membrane,Surface
ENSG00000069011,SL-0191,Nucleus,Nucleus
ENSG00000069849,SL-0026,Basolateral cell membrane,Surface
ENSG00000069849,SL-0015,Apical cell membrane,Surface
ENSG00000079102,SL-0191,Nucleus,Nucleus
ENSG00000080824,SL-0039,Cell membrane,Surface
ENSG00000080824,SL-0173,Mitochondrion,Cytoplasm
ENSG00000080824,SL-0086,Cytoplasm,Cytoplasm
ENSG00000080824,SL-0191,Nucleus,Nucleus
ENSG00000080824,SL-0161,Melanosome,Cytoplasm
ENSG00000090266,SL-0168,Mitochondrion inner membrane,Cytoplasm
ENSG00000100028,SL-0191,Nucleus,Nucleus
ENSG00000100028,SL-0086,Cytoplasm,Cytoplasm
ENSG00000100359,SL-0086,Cytoplasm,Cytoplasm
ENSG00000100526,SL-0086,Cytoplasm,Cytoplasm
ENSG00000101162,SL-0086,Cytoplasm,Cytoplasm
ENSG00000104435,SL-0280,Cell projection,Cytoplasm
ENSG00000104435,SL-0162,Membrane,Cytoplasm
ENSG00000104435,SL-0132,Golgi apparatus,Cytoplasm
ENSG00000104435,SL-0086,Cytoplasm,Cytoplasm
ENSG00000104435,SL-0101,Endosome,Cytoplasm
ENSG00000104880,SL-0015,Apical cell membrane,Surface
ENSG00000104880,SL-0086,Cytoplasm,Cytoplasm
ENSG00000104880,SL-0039,Cell membrane,Surface
ENSG00000105825,SL-0243,Secreted,Secreted
ENSG00000109851,SL-0191,Nucleus,Nucleus
ENSG00000112902,SL-0162,Membrane,Cytoplasm
ENSG00000118407,SL-0086,Cytoplasm,Cytoplasm
ENSG00000118816,SL-0182,Nucleus membrane,Nucleus
ENSG00000119946,SL-0039,Cell membrane,Surface
ENSG00000121853,SL-0039,Cell membrane,Surface
ENSG00000122643,SL-0086,Cytoplasm,Cytoplasm
ENSG00000122643,SL-0095,Endoplasmic reticulum,Cytoplasm
ENSG00000123405,SL-0191,Nucleus,Nucleus
ENSG00000123405,SL-0086,Cytoplasm,Cytoplasm
ENSG00000127022,SL-0097,Endoplasmic reticulum membrane,Cytoplasm
ENSG00000127022,SL-0160,Melanosome membrane,Cytoplasm
ENSG00000127366,SL-0162,Membrane,Cytoplasm
ENSG00000127914,SL-0132,Golgi apparatus,Cytoplasm
ENSG00000127914,SL-0086,Cytoplasm,Cytoplasm
ENSG00000129245,SL-0515,Postsynapse,Cytoplasm
ENSG00000129245,SL-0086,Cytoplasm,Cytoplasm
ENSG00000129534,SL-0191,Nucleus,Nucleus
ENSG00000129534,SL-0468,Chromosome,Nucleus
ENSG00000132837,SL-0173,Mitochondrion,Cytoplasm
ENSG00000133433,SL-0086,Cytoplasm,Cytoplasm
ENSG00000135373,SL-0191,Nucleus,Nucleus
ENSG00000135392,SL-0097,Endoplasmic reticulum membrane,Cytoplasm
ENSG00000136002,SL-0280,Cell projection,Cytoplasm
ENSG00000136002,SL-0086,Cytoplasm,Cytoplasm
ENSG00000136754,SL-0280,Cell projection,Cytoplasm
ENSG00000136754,SL-0086,Cytoplasm,Cytoplasm
ENSG00000136754,SL-0297,Postsynaptic density,Cytoplasm
ENSG00000137364,SL-0086,Cytoplasm,Cytoplasm
ENSG00000138356,SL-0086,Cytoplasm,Cytoplasm
ENSG00000138750,SL-0191,Nucleus,Nucleus
ENSG00000138750,SL-0182,Nucleus membrane,Nucleus
ENSG00000138755,SL-0243,Secreted,Secreted
ENSG00000140832,SL-0038,Cell junction,Cytoplasm
ENSG00000140832,SL-0162,Membrane,Cytoplasm
ENSG00000141519,SL-0280,Cell projection,Cytoplasm
ENSG00000141519,SL-0086,Cytoplasm,Cytoplasm
ENSG00000147488,SL-0191,Nucleus,Nucleus
ENSG00000147669,SL-0191,Nucleus,Nucleus
ENSG00000154240,SL-0086,Cytoplasm,Cytoplasm
ENSG00000155090,SL-0191,Nucleus,Nucleus
ENSG00000158411,SL-0151,Late endosome membrane,Cytoplasm
ENSG00000158411,SL-0469,Midbody,Cytoplasm
ENSG00000158411,SL-0162,Membrane,Cytoplasm
ENSG00000158748,SL-0039,Cell membrane,Surface
ENSG00000161031,SL-0243,Secreted,Secreted
ENSG00000161031,SL-0162,Membrane,Cytoplasm
ENSG00000165724,SL-0086,Cytoplasm,Cytoplasm
ENSG00000165724,SL-0039,Cell membrane,Surface
ENSG00000166181,SL-0191,Nucleus,Nucleus
ENSG00000166181,SL-0086,Cytoplasm,Cytoplasm
ENSG00000166938,SL-0086,Cytoplasm,Cytoplasm
ENSG00000167178,SL-0039,Cell membrane,Surface
ENSG00000167536,SL-0243,Secreted,Secreted
ENSG00000169903,SL-0162,Membrane,Cytoplasm
ENSG00000170006,SL-0162,Membrane,Cytoplasm
ENSG00000171227,SL-0162,Membrane,Cytoplasm
ENSG00000174482,SL-0162,Membrane,Cytoplasm
ENSG00000176435,SL-0162,Membrane,Cytoplasm
ENSG00000177673,SL-0086,Cytoplasm,Cytoplasm
ENSG00000178685,SL-0191,Nucleus,Nucleus
ENSG00000178685,SL-0086,Cytoplasm,Cytoplasm
ENSG00000178772,SL-0243,Secreted,Secreted
ENSG00000188558,SL-0039,Cell membrane,Surface
ENSG00000196099,SL-0039,Cell membrane,Surface
ENSG00000196793,SL-0191,Nucleus,Nucleus
ENSG00000198000,SL-0191,Nucleus,Nucleus
ENSG00000198203,SL-0158,Lysosome,Cytoplasm
ENSG00000198203,SL-0086,Cytoplasm,Cytoplasm
ENSG00000198851,SL-0039,Cell membrane,Surface
ENSG00000204065,SL-0191,Nucleus,Nucleus
ENSG00000204311,SL-0280,Cell projection,Cytoplasm
ENSG00000204311,SL-0203,Peroxisome membrane,Cytoplasm
ENSG00000204644,SL-0191,Nucleus,Nucleus
ENSG00000204897,SL-0086,Cytoplasm,Cytoplasm
ENSG00000205918,SL-0086,Cytoplasm,Cytoplasm
ENSG00000211655,SL-0243,Secreted,Secreted
ENSG00000211655,SL-0039,Cell membrane,Surface
ENSG00000211695,SL-0039,Cell membrane,Surface
ENSG00000211794,SL-0039,Cell membrane,Surface
ENSG00000232388,SL-0162,Membrane,Cytoplasm
ENSG00000248385,SL-0039,Cell membrane,Surface
ENSG00000255012,SL-0039,Cell membrane,Surface
ENSG00000256043,SL-0158,Lysosome,Cytoplasm
ENSG00000263001,SL-0191,Nucleus,Nucleus
ENSG00000263001,SL-0086,Cytoplasm,Cytoplasm
ENSG00000275034,SL-0191,Nucleus,Nucleus
ENSG00000275034,SL-0086,Cytoplasm,Cytoplasm
ENSG00000277224,SL-0191,Nucleus,Nucleus
ENSG00000277224,SL-0468,Chromosome,Nucleus
ENSG00000277481,SL-0039,Cell membrane,Surface
ENSG00000278599,SL-0039,Cell membrane,Surface
ENSG00000284713,SL-0162,Membrane,Cytoplasm
ENSG00000005073,SL-0191,Nucleus,Nucleus
ENSG00000058085,SL-0243,Secreted,Secreted
ENSG00000061938,SL-0039,Cell membrane,Surface
ENSG00000061938,SL-0162,Membrane,Cytoplasm
ENSG00000061938,SL-0086,Cytoplasm,Cytoplasm
ENSG00000061938,SL-0038,Cell junction,Cytoplasm
ENSG00000061938,SL-0088,Cytoplasmic vesicle,Cytoplasm
ENSG00000061938,SL-0101,Endosome,Cytoplasm
ENSG00000061938,SL-0191,Nucleus,Nucleus
ENSG00000061938,SL-0089,Cytoplasmic vesicle membrane,Cytoplasm
ENSG00000072858,SL-0162,Membrane,Cytoplasm
ENSG00000073067,SL-0165,Microsome membrane,Cytoplasm
ENSG00000073067,SL-0039,Cell membrane,Surface
ENSG00000073067,SL-0096,Endoplasmic reticulum lumen,Cytoplasm
ENSG00000085733,SL-0280,Cell projection,Cytoplasm
ENSG00000085733,SL-0039,Cell membrane,Surface
ENSG00000085733,SL-0162,Membrane,Cytoplasm
ENSG00000085733,SL-0086,Cytoplasm,Cytoplasm
ENSG00000085733,SL-0038,Cell junction,Cytoplasm
ENSG00000085733,SL-0095,Endoplasmic reticulum,Cytoplasm
ENSG00000091009,SL-0086,Cytoplasm,Cytoplasm
ENSG00000091009,SL-0186,Nucleus speckle,Nucleus
ENSG00000101187,SL-0039,Cell membrane,Surface
ENSG00000101337,SL-0094,Early endosome,Cytoplasm
ENSG00000101337,SL-0162,Membrane,Cytoplasm
ENSG00000101577,SL-0191,Nucleus,Nucleus
ENSG00000101577,SL-0086,Cytoplasm,Cytoplasm
ENSG00000104980,SL-0168,Mitochondrion inner membrane,Cytoplasm
ENSG00000104980,SL-0170,Mitochondrion matrix,Cytoplasm
ENSG00000106688,SL-0151,Late endosome membrane,Cytoplasm
ENSG00000106688,SL-0039,Cell membrane,Surface
ENSG00000106688,SL-0258,Synapse,Cytoplasm
ENSG00000106688,SL-0015,Apical cell membrane,Surface
ENSG00000106688,SL-0093,Early endosome membrane,Cytoplasm
ENSG00000106688,SL-0231,Recycling endosome membrane,Cytoplasm
ENSG00000108591,SL-0191,Nucleus,Nucleus
ENSG00000108591,SL-0086,Cytoplasm,Cytoplasm
ENSG00000110921,SL-0086,Cytoplasm,Cytoplasm
ENSG00000110921,SL-0204,Peroxisome,Cytoplasm
ENSG00000113621,SL-0280,Cell projection,Cytoplasm
ENSG00000113851,SL-0191,Nucleus,Nucleus
ENSG00000113851,SL-0086,Cytoplasm,Cytoplasm
ENSG00000114446,SL-0280,Cell projection,Cytoplasm
ENSG00000114446,SL-0086,Cytoplasm,Cytoplasm
ENSG00000117090,SL-0243,Secreted,Secreted
ENSG00000117090,SL-0039,Cell membrane,Surface
ENSG00000120563,SL-0243,Secreted,Secreted
ENSG00000123595,SL-0039,Cell membrane,Surface
ENSG00000123595,SL-0152,Late endosome,Cytoplasm
ENSG00000123595,SL-0097,Endoplasmic reticulum membrane,Cytoplasm
ENSG00000123595,SL-0088,Cytoplasmic vesicle,Cytoplasm
ENSG00000123595,SL-0161,Melanosome,Cytoplasm
ENSG00000123595,SL-0089,Cytoplasmic vesicle membrane,Cytoplasm
ENSG00000125551,SL-0243,Secreted,Secreted
ENSG00000125618,SL-0191,Nucleus,Nucleus
ENSG00000127362,SL-0162,Membrane,Cytoplasm
ENSG00000132541,SL-0191,Nucleus,Nucleus
ENSG00000132541,SL-0086,Cytoplasm,Cytoplasm
ENSG00000132541,SL-0204,Peroxisome,Cytoplasm
ENSG00000132541,SL-0173,Mitochondrion,Cytoplasm
ENSG00000136404,SL-0157,Lysosome membrane,Cytoplasm
ENSG00000137252,SL-0039,Cell membrane,Surface
ENSG00000139567,SL-0039,Cell membrane,Surface
ENSG00000147885,SL-0243,Secreted,Secreted
ENSG00000149136,SL-0191,Nucleus,Nucleus
ENSG00000149136,SL-0468,Chromosome,Nucleus
ENSG00000158717,SL-0086,Cytoplasm,Cytoplasm
ENSG00000162687,SL-0039,Cell membrane,Surface
ENSG00000163466,SL-0258,Synapse,Cytoplasm
ENSG00000163466,SL-0280,Cell projection,Cytoplasm
ENSG00000163466,SL-0086,Cytoplasm,Cytoplasm
ENSG00000163888,SL-0191,Nucleus,Nucleus
ENSG00000163888,SL-0258,Synapse,Cytoplasm
ENSG00000163888,SL-0086,Cytoplasm,Cytoplasm
ENSG00000165076,SL-0088,Cytoplasmic vesicle,Cytoplasm
ENSG00000165672,SL-0173,Mitochondrion,Cytoplasm
ENSG00000165672,SL-0094,Early endosome,Cytoplasm
ENSG00000165672,SL-0086,Cytoplasm,Cytoplasm
ENSG00000165730,SL-0191,Nucleus,Nucleus
ENSG00000165730,SL-0086,Cytoplasm,Cytoplasm
ENSG00000167965,SL-0086,Cytoplasm,Cytoplasm
ENSG00000167965,SL-0157,Lysosome membrane,Cytoplasm
ENSG00000168702,SL-0162,Membrane,Cytoplasm
ENSG00000170091,SL-0280,Cell projection,Cytoplasm
ENSG00000170091,SL-0100,Endosome membrane,Surface
ENSG00000170091,SL-0151,Late endosome membrane,Cytoplasm
ENSG00000170091,SL-0162,Membrane,Cytoplasm
ENSG00000170091,SL-0089,Cytoplasmic vesicle membrane,Cytoplasm
ENSG00000170091,SL-0132,Golgi apparatus,Cytoplasm
ENSG00000170091,SL-0093,Early endosome membrane,Cytoplasm
ENSG00000170091,SL-0101,Endosome,Cytoplasm
ENSG00000170091,SL-0156,Lysosome lumen,Cytoplasm
ENSG00000170370,SL-0191,Nucleus,Nucleus
ENSG00000170370,SL-0280,Cell projection,Cytoplasm
ENSG00000171103,SL-0170,Mitochondrion matrix,Cytoplasm
ENSG00000171307,SL-0097,Endoplasmic reticulum membrane,Cytoplasm
ENSG00000172007,SL-0132,Golgi apparatus,Cytoplasm
ENSG00000172007,SL-0134,Golgi apparatus membrane,Cytoplasm
ENSG00000173917,SL-0191,Nucleus,Nucleus
ENSG00000173947,SL-0088,Cytoplasmic vesicle,Cytoplasm
ENSG00000173947,SL-0132,Golgi apparatus,Cytoplasm
ENSG00000173947,SL-0086,Cytoplasm,Cytoplasm
ENSG00000177143,SL-0280,Cell projection,Cytoplasm
ENSG00000177143,SL-0086,Cytoplasm,Cytoplasm
ENSG00000177548,SL-0094,Early endosome,Cytoplasm
ENSG00000177548,SL-0086,Cytoplasm,Cytoplasm
ENSG00000178404,SL-0280,Cell projection,Cytoplasm
ENSG00000178878,SL-0039,Cell membrane,Surface
ENSG00000181027,SL-0086,Cytoplasm,Cytoplasm
ENSG00000181027,SL-0039,Cell membrane,Surface
ENSG00000181027,SL-0235,Rough endoplasmic reticulum,Cytoplasm
ENSG00000181027,SL-0134,Golgi apparatus membrane,Cytoplasm
ENSG00000181392,SL-0183,Nucleus outer membrane,Nucleus
ENSG00000182149,SL-0178,Nucleus envelope,Nucleus
ENSG00000182149,SL-0088,Cytoplasmic vesicle,Cytoplasm
ENSG00000182149,SL-0086,Cytoplasm,Cytoplasm
ENSG00000182149,SL-0469,Midbody,Cytoplasm
ENSG00000182481,SL-0191,Nucleus,Nucleus
ENSG00000182481,SL-0097,Endoplasmic reticulum membrane,Cytoplasm
ENSG00000182481,SL-0086,Cytoplasm,Cytoplasm
ENSG00000182481,SL-0134,Golgi apparatus membrane,Cytoplasm
ENSG00000182551,SL-0191,Nucleus,Nucleus
ENSG00000182551,SL-0086,Cytoplasm,Cytoplasm
ENSG00000182551,SL-0039,Cell membrane,Surface
ENSG00000182903,SL-0191,Nucleus,Nucleus
ENSG00000184227,SL-0086,Cytoplasm,Cytoplasm
ENSG00000184678,SL-0191,Nucleus,Nucleus
ENSG00000184678,SL-0468,Chromosome,Nucleus
ENSG00000185985,SL-0280,Cell projection,Cytoplasm
ENSG00000185985,SL-0039,Cell membrane,Surface
ENSG00000185985,SL-0162,Membrane,Cytoplasm
ENSG00000186150,SL-0086,Cytoplasm,Cytoplasm
ENSG00000186452,SL-0088,Cytoplasmic vesicle,Cytoplasm
ENSG00000186452,SL-0039,Cell membrane,Surface
ENSG00000187116,SL-0243,Secreted,Secreted
ENSG00000187116,SL-0039,Cell membrane,Surface
ENSG00000187624,SL-0191,Nucleus,Nucleus
ENSG00000187624,SL-0086,Cytoplasm,Cytoplasm
ENSG00000187642,SL-0191,Nucleus,Nucleus
ENSG00000187642,SL-0086,Cytoplasm,Cytoplasm
ENSG00000188163,SL-0086,Cytoplasm,Cytoplasm
ENSG00000188559,SL-0086,Cytoplasm,Cytoplasm
ENSG00000198242,SL-0191,Nucleus,Nucleus
ENSG00000198242,SL-0086,Cytoplasm,Cytoplasm
ENSG00000203896,SL-0039,Cell membrane,Surface
ENSG00000206474,SL-0039,Cell membrane,Surface
ENSG00000213402,SL-0162,Membrane,Cytoplasm
ENSG00000242441,SL-0191,Nucleus,Nucleus
ENSG00000250254,SL-0086,Cytoplasm,Cytoplasm
ENSG00000251655,SL-0243,Secreted,Secreted
ENSG00000255112,SL-0151,Late endosome membrane,Cytoplasm
ENSG00000255112,SL-0086,Cytoplasm,Cytoplasm
ENSG00000255112,SL-0101,Endosome,Cytoplasm
ENSG00000258713,SL-0162,Membrane,Cytoplasm
ENSG00000277972,SL-0173,Mitochondrion,Cytoplasm
ENSG00000282639,SL-0243,Secreted,Secreted
ENSG00000282639,SL-0039,Cell membrane,Surface
ENSG00000283654,SL-0162,Membrane,Cytoplasm
ENSG00000067836,SL-0280,Cell projection,Cytoplasm
ENSG00000067836,SL-0178,Nucleus envelope,Nucleus
ENSG00000067836,SL-0088,Cytoplasmic vesicle,Cytoplasm
ENSG00000067836,SL-0516,Presynapse,Cytoplasm
ENSG00000067836,SL-0197,Perikaryon,Cytoplasm
ENSG00000076321,SL-0191,Nucleus,Nucleus
ENSG00000076321,SL-0280,Cell projection,Cytoplasm
ENSG00000076321,SL-0132,Golgi apparatus,Cytoplasm
ENSG00000076321,SL-0086,Cytoplasm,Cytoplasm
ENSG00000084112,SL-0467,Cleavage furrow,Cytoplasm
ENSG00000084112,SL-0280,Cell projection,Cytoplasm
ENSG00000084112,SL-0086,Cytoplasm,Cytoplasm
ENSG00000084112,SL-0469,Midbody,Cytoplasm
ENSG00000086061,SL-0191,Nucleus,Nucleus
ENSG00000086061,SL-0086,Cytoplasm,Cytoplasm
ENSG00000086061,SL-0162,Membrane,Cytoplasm
ENSG00000090539,SL-0243,Secreted,Secreted
ENSG00000105197,SL-0168,Mitochondrion inner membrane,Cytoplasm
ENSG00000105197,SL-0186,Nucleus speckle,Nucleus
ENSG00000107295,SL-0516,Presynapse,Cytoplasm
ENSG00000107295,SL-0094,Early endosome,Cytoplasm
ENSG00000107295,SL-0086,Cytoplasm,Cytoplasm
ENSG00000107295,SL-0162,Membrane,Cytoplasm
ENSG00000107438,SL-0086,Cytoplasm,Cytoplasm
ENSG00000109220,SL-0088,Cytoplasmic vesicle,Cytoplasm
ENSG00000109220,SL-0039,Cell membrane,Surface
ENSG00000110375,SL-0039,Cell membrane,Surface
ENSG00000111796,SL-0162,Membrane,Cytoplasm
ENSG00000112739,SL-0191,Nucleus,Nucleus
ENSG00000114388,SL-0157,Lysosome membrane,Cytoplasm
ENSG00000120370,SL-0132,Golgi apparatus,Cytoplasm
ENSG00000120370,SL-0086,Cytoplasm,Cytoplasm
ENSG00000121406,SL-0191,Nucleus,Nucleus
ENSG00000122862,SL-0543,Cytolytic granule,Unknown
ENSG00000122862,SL-0281,Cytoplasmic granule,Cytoplasm
ENSG00000122862,SL-0243,Secreted,Secreted
ENSG00000122862,SL-0132,Golgi apparatus,Cytoplasm
ENSG00000124151,SL-0191,Nucleus,Nucleus
ENSG00000124151,SL-0086,Cytoplasm,Cytoplasm
ENSG00000124181,SL-0280,Cell projection,Cytoplasm
ENSG00000124664,SL-0191,Nucleus,Nucleus
ENSG00000125877,SL-0086,Cytoplasm,Cytoplasm
ENSG00000125895,SL-0162,Membrane,Cytoplasm
ENSG00000125977,SL-0086,Cytoplasm,Cytoplasm
ENSG00000128606,SL-0243,Secreted,Secreted
